documento,chunk_id,chunk_len,pca_x,pca_y
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,0,999,0.22416227,0.034890983
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,1,999,-0.13972156,0.0778296
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,2,1000,0.04499268,-0.3308789
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,3,1000,0.12622336,-0.42987996
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,4,1000,0.12975758,-0.3577414
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,5,1000,-0.11619818,-0.34223804
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,6,1000,-0.09387675,-0.13916658
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,7,1000,0.1475706,-0.029436948
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,8,1000,0.29996,-0.21278624
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,9,1000,0.3172907,-0.16895707
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,10,1000,0.317988,0.085150935
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,11,1000,0.31966826,0.10400949
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,12,1000,0.3890638,0.11603315
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,13,1000,0.39821917,0.08367314
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,14,999,0.4364789,0.09743467
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,15,1000,0.3300757,0.23642215
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,16,999,0.46383303,0.2589306
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,17,1000,0.39369845,0.07999148
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,18,1000,0.29896325,0.12173454
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,19,1000,0.20798083,-0.026448058
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,20,1000,0.1071557,-0.06203019
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,21,999,-0.20798786,0.024957104
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,22,999,-0.3079415,0.08364802
